bairros,rota
Acupe,3
Alto das Pombas,9
Alto do Cabrito,4
Alto do Coqueirinho,8
Arraial do Retiro,7
Bairro da Paz,8
Barbalho,9
Barra,9
Barreiras,7
Barris,9
Boa Vista de São Caetano,6
Boca do Rio,5
Brotas,3
Cabula,7
Caixa D'Água,6
Calabar,9
Caminho das Árvores,5
Campinas de Pirajá,6
Canela,9
Capelinha,6
Cassange,8
Centro,9
Cidade Nova,3
Cosme de Farias,3
Costa Azul,5
Coutos,4
Curuzu,6
Dois de Julho,9
Doron,7
Engenho Velho da Federação,3
Engenho Velho de Brotas,3
Engomadeira,7
Fazenda Coutos,4
Fazenda Grande do Retiro,7
Federação,3
IAPI,6
Imbuí,5
Itacaranha,4
Itaigara,5
Itapuã,8
Jardim Armação,5
Jardim das Margaridas,8
Jardim Santo Inácio,7
Liberdade,6
Lobato,4
Luiz Anselmo,3
Marechal Rondon,6
Massaranduba,6
Mata Escura,7
Matatu,3
Mussurunga,8
Nazaré,9
Nordeste de Amaralina,5
Novo Horizonte,7
Paripe,4
Patamares,8
Pau Miúdo,6
Periperi,4
Pernambués,7
Pero Vaz,6
Piatã,8
Pirajá,6
Pituaçu,5
Pituba,5
Plataforma,4
Rio Vermelho,5
São Caetano,6
São Cristóvão,8
São Gonçalo,7
Saboeiro,7
Santa Cruz,5
Santo Antônio,9
Stella Maris,8
Sussuarana,7
Tororó,9
Trobogy,8
Valéria,4
Vila Laura,3
Boa Vista de Brotas,3
Amaralina,5
Arenoso,7